ID,対象,月,項目,時期,場所,時間
1,0,4,インターンシップ＆就職ミニガイダンス,4月11日・13〜15日・18日・21日・22日・25日,メディア視聴覚室ほか,16:20ほか
2,1,5,今から始める就職相談会,5月16日〜20日,キャリアセンター,終日
3,1,5,瑞若会企業展,5月21日,AITプラザ,午前・午後
4,0,6,J-NET求人ナビ登録会＆SPI受験会,6月7日・8日,11号館1階ほか,1限ほか
5,0,6,J-NET求人ナビ登録会＆SPI受験会,6月10日,計算センター実習室1、2,4・5限
6,0,6,J-NET求人ナビ登録会＆SPI受験会,6月13日,計算センター、情報教育センター,5限
7,0,6,就職ガイダンス①,6月20・21日,G2210,4・5限
8,1,6,進路ガイダンス,6月24日,メディア視聴覚室,4・5限
9,0,6,就職力向上講座 ①自己PR作成「できること発見」,6月30日,1号館2Fラウンジ,3・4限
10,0,6,就職力向上講座 ①自己PR作成「できること発見」,7月1・4日,1号館2Fラウンジ,3・4限
11,0,7,J-NET求人ナビ登録会＆SPI受験会,7月8日,計算センター実習室2,1限
12,1,7,マッチング相談会,7月11日〜15日,キャリアセンター,終日
13,0,7,就職力向上講座 ②志望動機作成「やりたいこと発見」,7月11日・14日・19日,1号館2Fラウンジ,3・4限
14,1,7,マッチング企業展,7月16日,1号館ラウンジ,午前・午後
15,0,8,インターンシップマナー講座,8月3日・4日,メディア視聴覚室,5限
16,0,8,インターンシップマナー講座,8月6日,メディア視聴覚室,2限
17,0,10,就職力向上講座 「前期フォローアップ」(自己PR/志望動機),10月17日・18日・20日・21日,1号館2Fラウンジ,3・4限
18,0,11,就職ガイダンス②,11月15日,G2210,2・3・4限
19,0,11,就職ガイダンス②,11月16日,G2210,5限
20,0,11,就職力向上講座 ④「業界・仕事研究セミナー」,11月29日・30日,メディア視聴覚室,3・4限
21,0,12,就職力向上講座 ④「業界・仕事研究セミナー」,12月1日,メディア視聴覚室,3・4限
22,0,12,筆記試験対策講座&自己採点試験,12月12日・13日・15日,メディア視聴覚室,3・4限
23,0,12,就職力向上講座 ④「履歴書作成」,12月19日・20日,メディア視聴覚室,3・4限
24,0,1,メイクUP講座 ※女子学生向け,1月17日,AITプラザ3階,3・4限
25,0,1,業種別研究会＋履歴書写真,1月21日,AITプラザ1階,午前・午後
26,0,2,就職ガイダンス③,2月9日・10日,メディア視聴覚室,3・4限
27,0,2,面接基礎&エントリーシート対策講座,2月13日・14日・16日・17日,メディア視聴覚室,3・4限
28,0,2,SPI模擬受検,2月21日・22日,メディア視聴覚室,3・4限
29,0,2,第一印象向上&グループディスカッション実践演習講座,2月23日・24日,AITプラザ3階,3・4限
30,0,3,学内企業展(愛名会会員企業),3月1日・2日・4日,鉀徳館,午前・午後
31,0,3,学内企業展(一般企業 兼 岐阜・長野企業展),3月9日・10日,AITプラザ1階,午前・午後
32,0,3,地元企業交流会(静岡・三重),3月14日・17日,浜松(14日)、四日市(17日),
33,0,3,面接実践演習,3月21日〜24日,キャリアセンター,
